Natal,81
Parnamirim,36
Mossoró,30
Açu,27
São Gonçalo do Amarante,15
Macaíba,12
João Câmara,12
Nova Cruz,12
Ipueira,12
Ceará-Mirim,9
Upanema,9
Pedro Velho,9
Caicó,9
Lajes Pintadas,9
Lajes,9
São Pedro,9
Parelhas,9
Carnaúba dos Dantas,9
Extremoz,9
Currais Novos,9
São Tomé,9
São Bento do Trairí,6
Santa Cruz,6
São Fernando,6
Rafael Fernandes,6
São José do Campestre,6
Pau dos Ferros,6
São Vicente,6
Serrinha,6
Acari,6
Itajá,6
Jardim do Seridó,6
Bom Jesus,6
Caraúbas,6
Guamaré,6
Olho-d'Água do Borges,6
Serra Caiada,6
Rafael Godeiro,3
Carnaubais,3
Areia Branca,3
Timbaúba dos Batistas,3
Sítio Novo,3
Baía Formosa,3
Passagem,3
Montanhas,3
Messias Targino,3
Lagoa de Velhos,3
São João do Sabugi,3
Ipanguaçu,3
Portalegre,3
Jardim de Piranhas,3
Santana do Seridó,3
Santana dos Matos,3
Parazinho,3
